u[i]        v[i]
0.0843657      0.0842968
0.159845      0.159715
0.227276      0.227091
0.287418      0.287183
0.340957      0.340678
0.388515      0.388198
0.430657      0.430306
0.467894      0.467511
0.500686      0.500278
0.529455      0.529022
0.554578      0.554125
0.576399      0.575929
0.595231      0.594745
0.611353      0.610854
0.625023      0.624513
0.636471      0.635951
0.645906      0.645379
0.653519      0.652985
0.659481      0.658942
0.663947      0.663405
0.667059      0.666515
0.668945      0.668399
0.669719      0.669173
0.669488      0.668941
0.668344      0.667799
0.666376      0.665831
0.663659      0.663117
0.660265      0.659726
0.656258      0.655722
0.651696      0.651164
0.64663      0.646102
0.641108      0.640585
0.635174      0.634655
0.628866      0.628352
0.622219      0.621711
0.615265      0.614763
0.608034      0.607537
0.600551      0.600061
0.59284      0.592356
0.584923      0.584445
0.576819      0.576348
0.568545      0.568081
0.560118      0.559661
0.551552      0.551102
0.542861      0.542417
0.534055      0.533619
0.525146      0.524717
0.516144      0.515722
0.507057      0.506643
0.497893      0.497487
0.48866      0.488261
0.479364      0.478972
0.470011      0.469627
0.460606      0.46023
0.451155      0.450786
0.441661      0.4413
0.432129      0.431776
0.422562      0.422217
0.412964      0.412627
0.403337      0.403008
0.393685      0.393363
0.384009      0.383695
0.374311      0.374006
0.364595      0.364297
0.354861      0.354572
0.345112      0.34483
0.335348      0.335075
0.325572      0.325306
0.315784      0.315526
0.305985      0.305735
0.296176      0.295935
0.286359      0.286126
0.276534      0.276309
0.266702      0.266485
0.256864      0.256654
0.247019      0.246818
0.23717      0.236976
0.227315      0.22713
0.217456      0.217279
0.207594      0.207424
0.197727      0.197566
0.187858      0.187704
0.177985      0.17784
0.16811      0.167973
0.158233      0.158104
0.148353      0.148232
0.138471      0.138358
0.128588      0.128483
0.118703      0.118606
0.108816      0.108728
0.0989286      0.0988478
0.0890396      0.0889669
0.0791495      0.0790849
0.0692584      0.0692018
0.0593664      0.0593179
0.0494736      0.0494332
0.0395801      0.0395478
0.0296859      0.0296617
0.0197911      0.019775
0.00989582      0.00988774
